epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.45504,0,12.7742,0,0.22775,0.2,0.17622,0.11516,1.87475,2.37448,1.39451,0,0,0
2,2.03968,0,10.2029,0,0.26152,0.2,0.1824,0.11844,1.83789,2.36394,1.37198,1.1311e-06,1.1311e-06,1.1311e-06
3,2.44281,0,14.3269,0,0.29164,0.2,0.18634,0.11962,1.82211,2.36065,1.35569,2.14438e-06,2.14438e-06,2.14438e-06
4,2.8275,0,11.8662,0,0.24622,0.2,0.19544,0.12068,1.79589,2.36794,1.3365,3.03986e-06,3.03986e-06,3.03986e-06
5,3.21951,0,7.31337,0,0.23431,0.2,0.18979,0.11845,1.80625,2.35959,1.34118,3.81752e-06,3.81752e-06,3.81752e-06
6,3.55717,0,9.40819,0,0.23431,0.2,0.18979,0.11845,1.80625,2.35959,1.34118,4.47737e-06,4.47737e-06,4.47737e-06
7,6.66758,0,9.01739,0,0.17283,0.3,0.18463,0.11426,1.75629,2.37123,1.31362,5.01942e-06,5.01942e-06,5.01942e-06
8,9.91432,0,10.5297,0,0.17283,0.3,0.18463,0.11426,1.75629,2.37123,1.31362,5.44365e-06,5.44365e-06,5.44365e-06
9,10.5783,0,11.1414,0,0.17578,0.3,0.18333,0.11687,1.82633,2.39038,1.34545,5.75008e-06,5.75008e-06,5.75008e-06
10,10.9199,0,9.1499,0,0.17578,0.3,0.18333,0.11687,1.82633,2.39038,1.34545,5.9387e-06,5.9387e-06,5.9387e-06
11,11.8025,0,8.05962,0,0.14875,0.3,0.18271,0.11512,1.86803,2.41451,1.36724,6.0095e-06,6.0095e-06,6.0095e-06
12,12.1658,0,8.88851,0,0.14875,0.3,0.18271,0.11512,1.86803,2.41451,1.36724,5.9625e-06,5.9625e-06,5.9625e-06
13,12.7755,0,6.99353,0,0.14039,0.3,0.1792,0.11583,1.8512,2.3753,1.36151,5.79768e-06,5.79768e-06,5.79768e-06
14,13.3022,0,8.94269,0,0.14039,0.3,0.1792,0.11583,1.8512,2.3753,1.36151,5.51505e-06,5.51505e-06,5.51505e-06
15,13.8232,0,7.20615,0,0.14039,0.3,0.1792,0.11583,1.8512,2.3753,1.36151,5.11462e-06,5.11462e-06,5.11462e-06
16,14.3858,0,11.2028,0,0.14489,0.3,0.17021,0.11279,1.81416,2.34271,1.36692,4.59638e-06,4.59638e-06,4.59638e-06
17,21.1022,0,8.44635,0,0.14489,0.3,0.17021,0.11279,1.81416,2.34271,1.36692,3.96032e-06,3.96032e-06,3.96032e-06
18,21.6199,0,6.26371,0,0.14489,0.3,0.17021,0.11279,1.81416,2.34271,1.36692,3.20646e-06,3.20646e-06,3.20646e-06
19,22.1858,0,10.4023,0,0.95266,0.1,0.1652,0.11171,1.73273,2.38649,1.34733,2.33478e-06,2.33478e-06,2.33478e-06
20,22.7057,0,9.31303,0,0.95266,0.1,0.1652,0.11171,1.73273,2.38649,1.34733,1.3453e-06,1.3453e-06,1.3453e-06
